age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
59,co-op,NA,oil,0,efficiency,397,0,1,0,2,0,0,55000,NA,NA,11414,0
64,co-op,NA,gas,0,efficiency,687,1,1,0,3,0,0,140000,NA,NA,11414,0
69,co-op,combo,gas,0,efficiency,739,1,1,0,3,0,0,168000,NA,NA,11362,0
69,co-op,formal,gas,0,efficiency,824,2,1,0,5,0,0,238000,950,NA,11354,0
74,co-op,other,gas,0,eat in,765,2,1,0,5,0,39,330000,NA,NA,11004,0
71,co-op,combo,oil,0,efficiency,722,1,1,0,3,0,35,181500,NA,NA,11362,0
41,condo,combo,gas,0,eat in,NA,1,1,0,7,0,0,640000,NA,3144,11360,667
74,co-op,formal,oil,0,efficiency,670,1,1,0,4,100,0,198800,NA,NA,11367,0
86,condo,NA,oil,0,efficiency,NA,1,1,0,2,0,0,420000,778,3316,11375,508
60,co-op,formal,gas,0,combo,1729,3,2,0,5,0,0,686000,NA,NA,11375,0
60,co-op,formal,gas,0,combo,1729,3,2,0,5,0,0,686000,NA,NA,11375,0
49,co-op,NA,oil,1,eat in,2292,3,2,1,7,168,50,820000,1950,NA,11005,0
96,co-op,combo,oil,0,eat in,790,1,1,0,3,0,48,175000,NA,NA,11357,0
74,co-op,formal,oil,0,efficiency,994,2,1,0,5,0,0,265000,NA,NA,11362,0
72,co-op,NA,gas,1,Eat In,1464,3,2,0,6,73,0,585000,1379,NA,11375,0
61,co-op,formal,oil,0,efficiency,763,2,1,0,5,0,0,132000,NA,NA,11414,0
58,condo,combo,NA,0,efficiency,512,1,1,0,3,0,0,259000,NA,2220,11414,0
74,co-op,combo,gas,0,efficiency,595,1,1,0,3,125,46,235000,743,NA,11375,0
17,condo,formal,electric,0,Combo,NA,2,2,0,7,0,0,565000,1075,200,11354,259
46,condo,combo,NA,0,efficiency,NA,1,1,0,3,0,0,298000,657,2037,11379,210
60,co-op,other,gas,1,efficiency,864,1,1,0,3,0,0,330000,NA,NA,11375,0
74,co-op,NA,oil,0,efficiency,497,1,1,0,3,0,0,177677,NA,NA,11004,0
74,co-op,combo,gas,1,Eat In,870,2,1,0,4,120,0,230000,NA,NA,11367,0
69,co-op,combo,oil,0,efficiency,658,1,1,0,3,0,0,175000,NA,NA,11367,0
74,co-op,formal,oil,1,eat in,1493,3,2,0,8,71,0,690000,NA,NA,11375,0
74,co-op,formal,gas,1,eat in,801,2,1,0,4,85,0,355000,1100,NA,11355,0
72,co-op,NA,gas,0,NA,540,1,1,0,4,45,40,130000,670,NA,11369,0
72,co-op,NA,gas,0,eat in,825,2,1,0,4,150,0,315000,NA,NA,11374,0
73,co-op,formal,oil,0,efficiency,714,1,1,0,3,0,0,170000,760,NA,11369,0
66,co-op,combo,oil,0,eat in,837,1,1,0,3,60,39,246000,NA,NA,11357,0
74,co-op,NA,oil,0,efficiency,664,1,1,0,3,0,0,189000,NA,NA,11362,0
69,co-op,NA,gas,0,Combo,546,1,1,0,3,0,50,155500,NA,NA,11364,0
54,co-op,combo,oil,1,efficiency,811,0,1,0,2,135,48,240000,NA,NA,11360,0
72,co-op,combo,oil,0,efficiency,723,1,1,0,4,100,0,145000,NA,NA,11435,0
37,condo,combo,gas,0,Eat In,NA,2,2,0,4,225,0,470000,1096,2600,11415,243
66,co-op,combo,oil,0,efficiency,814,1,1,0,3,0,0,129000,NA,NA,11432,0
74,co-op,combo,oil,0,efficiency,679,1,1,0,3,0,0,172000,NA,NA,11426,0
69,co-op,combo,gas,1,eat in,601,2,1,0,4,0,0,222000,NA,NA,11364,0
75,co-op,combo,oil,0,eat in,956,2,1,0,5,0,0,273000,950,NA,11357,0
85,co-op,NA,oil,0,eat in,723,1,1,0,3,0,0,255960,800,NA,11375,0
69,co-op,combo,gas,0,eat in,666,1,1,0,3,125,0,117000,770,NA,11423,0
69,co-op,combo,oil,1,efficiency,592,1,1,0,3,150,50,232500,750,NA,11374,0
